key,group,title,description,has_outrights
soccer_belgium_first_div,Soccer,Belgium First Div,Belgian First Division A,FALSE
soccer_brazil_campeonato,Soccer,Brazil Série A,Brasileirão Série A,FALSE
soccer_china_superleague,Soccer,Super League - China,,FALSE
soccer_conmebol_copa_libertadores,Soccer,Copa Libertadores,CONMEBOL Copa Libertadores,FALSE
soccer_denmark_superliga,Soccer,Denmark Superliga,,FALSE
soccer_efl_champ,Soccer,Championship,EFL Championship,FALSE
soccer_england_efl_cup,Soccer,EFL Cup,League Cup,FALSE
soccer_england_league1,Soccer,League 1,EFL League 1,FALSE
soccer_england_league2,Soccer,League 2,EFL League 2 ,FALSE
soccer_epl,Soccer,EPL,English Premier League,FALSE
soccer_fa_cup,Soccer,FA Cup,Football Association Challenge Cup,FALSE
soccer_fifa_world_cup,Soccer,FIFA World Cup,FIFA World Cup 2022,FALSE
soccer_fifa_world_cup_winner,Soccer,FIFA World Cup Winner,FIFA World Cup Winner 2022,TRUE
soccer_finland_veikkausliiga,Soccer,Veikkausliiga - Finland,,FALSE
soccer_france_ligue_one,Soccer,Ligue 1 - France,,FALSE
soccer_france_ligue_two,Soccer,Ligue 2 - France,French Soccer,FALSE
soccer_germany_bundesliga,Soccer,Bundesliga - Germany,German Soccer,FALSE
soccer_germany_bundesliga2,Soccer,Bundesliga 2 - Germany,German Soccer,FALSE
soccer_italy_serie_a,Soccer,Serie A - Italy,Italian Soccer,FALSE
soccer_italy_serie_b,Soccer,Serie B - Italy,Italian Soccer,FALSE
soccer_japan_j_league,Soccer,J League,Japan Soccer League,FALSE
soccer_korea_kleague1,Soccer,K League 1,Korean Soccer,FALSE
soccer_league_of_ireland,Soccer,League of Ireland,Airtricity League Premier Division,FALSE
soccer_mexico_ligamx,Soccer,Liga MX,Mexican Soccer,FALSE
soccer_netherlands_eredivisie,Soccer,Dutch Eredivisie,Dutch Soccer,FALSE
soccer_norway_eliteserien,Soccer,Eliteserien - Norway,Norwegian Soccer,FALSE
soccer_portugal_primeira_liga,Soccer,Primeira Liga - Portugal,Portugese Soccer,FALSE
soccer_russia_premier_league,Soccer,Premier League - Russia,Russian Soccer,FALSE
soccer_spain_la_liga,Soccer,La Liga - Spain,Spanish Soccer,FALSE
soccer_spain_segunda_division,Soccer,La Liga 2 - Spain,Spanish Soccer,FALSE
soccer_spl,Soccer,Premiership - Scotland,Scottish Premiership,FALSE
soccer_sweden_allsvenskan,Soccer,Allsvenskan - Sweden,Swedish Soccer,FALSE
soccer_sweden_superettan,Soccer,Superettan - Sweden,Swedish Soccer,FALSE
soccer_switzerland_superleague,Soccer,Swiss Superleague,Swiss Soccer,FALSE
soccer_turkey_super_league,Soccer,Turkey Super League,Turkish Soccer,FALSE
soccer_uefa_champs_league,Soccer,UEFA Champions,European Champions League,FALSE
soccer_uefa_europa_league,Soccer,UEFA Europa,European Europa League,FALSE
soccer_uefa_nations_league,Soccer,UEFA Nations League,UEFA Nations League,FALSE
soccer_usa_mls,Soccer,MLS,Major League Soccer,FALSE
tennis_atp_aus_open_singles,Tennis,ATP Australian Open,Men's Singles,FALSE
tennis_atp_french_open,Tennis,ATP French Open,Men's Singles,FALSE
tennis_atp_us_open,Tennis,ATP US Open,Men's Singles,FALSE
tennis_atp_wimbledon,Tennis,ATP Wimbledon,Men's Singles,FALSE
tennis_wta_aus_open_singles,Tennis,WTA Australian Open,Women's Singles,FALSE
tennis_wta_french_open,Tennis,WTA French Open,Women's Singles,FALSE
tennis_wta_us_open,Tennis,WTA US Open,Women's Singles,FALSE
tennis_wta_wimbledon,Tennis,WTA Wimbledon,Women's Singles,FALSE
